Countries (Indexes),GDP per capita (X1),Population Density/km2 (X2),Vaccination rate per 100 (X3),Doctor population per 1000 (X4),Hospital beds per 1000 (X5),Life Expentancy (X6),Average Temperature (X7),Active Cases (X8),Deaths over X-period (Y)
Argentina,9929.15,16,126.62,3.91,5.0,77.3,14.0,5180097,72772
Australia ,62618.59,3,132.77,3.68,2.89,83.2,22.0,178499,906
Bangladesh,2138.79,1127,36.17,0.47,0.8,72.6,25.0,1542944,20315
Belgium,50412.71,381,144.55,3.01,5.64,77.2,10.0,1388332,6550
Botswana,7349.88,4,33.33,0.53,1.8,64.3,20.6,190528,2365
Brazil,7741.15,25,125.33,2.18,1.91,75.9,28.5,21264936,413977
Canada,52791.23,4,152.68,2.61,2.5,82.1,-1.0,1708060,13386
Chile,16799.37,25,183.75,2.59,2.11,80.2,9.0,1668781,21181
China ,11891.2,149,155.43,1.98,4.31,76.9,14.4,105329,67
Colombia,5892.14,45,89.49,1.82,1.71,77.3,25.0,4885493,83993
Czechia,25806.38,136,111.51,4.12,6.62,78.3,5.0,1779410,19274
Ecuador,5884.15,65,120.15,1.66,1.5,77.0,22.0,486397,18938
Egypt,3851.75,104,24.06,0.45,1.43,71.9,22.1,317571,11324
France,44995.24,119,143.95,3.24,5.98,82.7,13.0,7192112,53964
Germany,51860.11,235,132.11,4.47,8.0,81.4,8.7,4683146,62379
Hungary,18527.59,104,132.28,3.09,7.02,76.1,12.0,860980,21517
India,2190.9,424,72.75,0.76,0.53,69.7,25.0,33894718,311573
Indonesia,4256.34,145,64.93,0.2,1.04,71.7,26.0,4104187,121205
Iran,12725.04,52,93.54,1.49,1.5,76.7,20.0,5853087,71836
Italy,34996.91,200,146.93,4.02,3.18,77.1,14.0,4669860,57744
Malaysia,11603.69,99,149.33,1.53,1.9,76.2,26.0,2472710,28782
Mauritius ,9639.31,624,135.37,2.53,3.4,75.5,22.7,18115,189
Mexico,9246.01,66,88.43,2.23,1.38,75.1,22.0,3535730,163167
Namibia,4371.2,3,19.48,0.37,2.7,62.9,21.0,125438,3353
Nigeria,2431.63,229,3.97,0.4,0.5,55.1,28.0,209722,1611
Pakistan,1190.0,255,48.66,0.98,0.6,67.3,22.0,1248173,18280
Peru,6678.27,26,100.14,1.12,1.6,76.7,19.0,2006147,107178
Philippines,3646.08,324,25.83,1.2,1.0,71.2,27.0,2756382,34991
Poland,16930.15,121,102.18,2.29,6.62,77.9,9.0,3013980,48777
Romania,14968.02,80,61.38,2.67,6.89,75.5,11.0,1651107,34641
Russia,11654.37,9,69.06,3.98,8.05,73.1,-2.0,8372438,184297
Singapore,64103.2,8305,169.8,2.6,2.49,83.5,27.0,215300,451
South Africa,5043.94,49,35.48,0.82,2.32,65.4,17.0,2834432,60432
South Korea ,34865.72,512,146.76,2.33,12.27,83.2,13.0,376968,2025
SpainÊ,30995.54,92,151.99,3.9,2.97,82.3,14.0,4938135,36667
Turkey,9327.27,109,137.59,1.75,2.81,77.7,14.0,8134418,50834
UAE ,35171.18,120,208.8,1.56,1.2,77.9,29.0,738223,1468
UK,46343.67,281,139.62,2.82,2.54,81.2,8.0,9174898,67937
Ukraine,3983.64,72,36.47,3.0,8.8,71.8,10.0,3124236,56738
US,68308.97,36,122.76,2.57,2.77,78.8,11.0,45711513,400362
