Country,Continent,Days from start,Confirmed Cases on date,Active Cases on date,Continent__Africa,Continent__Asia,Continent__Europe,Continent__North America,Continent__South America,Country__Argentina,Country__Bangladesh,Country__Belgium,Country__Brazil,Country__Canada,Country__Chile,Country__Colombia,Country__Czechia,Country__Ecuador,Country__France,Country__Germany,Country__Hungary,Country__India,Country__Indonesia,Country__Iran,Country__Italy,Country__Malaysia,Country__Mexico,Country__Pakistan,Country__Peru,Country__Philippines,Country__Poland,Country__Romania,Country__Russia,Country__South Africa,Country__Spain,Country__Turkey,Country__US,Country__Ukraine,Country__United Kingdom,GDP Per Capita,Cases per day,Deaths on Date,Deaths per day
Argentina,South America,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9929.15,0,0,0
United Kingdom,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46343.67,0,0,0
US,North America,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68308.97,0,0,0
Spain,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30995.54,0,0,0
Russia,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11654.37,0,0,0
Romania,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14968.02,0,0,0
Philippines,Asia,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3646.08,0,0,0
Mexico,North America,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9246.01,0,0,0
Malaysia,Asia,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11603.69,0,0,0
Italy,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34996.91,0,0,0
Poland,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16930.15,0,0,0
India,Asia,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190.9,0,0,0
Germany,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51860.11,0,0,0
France,Europe,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44995.24,0,0,0
Colombia,South America,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5892.14,0,0,0
Chile,South America,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16799.37,0,0,0
Canada,North America,0,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52791.23,0,0,0
