,Country,Continent,Date,Deaths on Date,Confirmed Cases on date,GDP Per Capita
0,Chile,4,2021-10-24,37669,2972927,16799.37
1,US,3,2020-01-22,0,0,68308.97
2,Brazil,4,2020-01-22,0,0,7741.15
3,India,1,2020-01-22,0,0,2190.9
4,Mexico,3,2020-01-22,0,0,9246.01
5,Russia,2,2020-01-22,0,0,11654.37
6,Indonesia,1,2020-01-22,0,0,4256.34
7,United Kingdom,2,2020-01-22,0,0,46343.67
8,Italy,2,2020-01-22,0,0,34996.91
9,Colombia,4,2020-01-22,0,0,5892.14
10,France,2,2020-01-22,0,0,44995.24
11,Argentina,4,2020-01-22,0,0,9929.15
12,Germany,2,2020-01-22,0,0,51860.11
13,Spain,2,2020-01-22,0,0,30995.54
14,Poland,2,2020-01-22,0,0,16930.15
15,Romania,2,2020-01-22,0,0,14968.02
16,Philippines,1,2020-01-22,0,0,3646.08
17,Chile,4,2020-01-22,0,0,16799.37
18,Canada,3,2020-01-22,0,0,52791.23
19,Malaysia,1,2020-01-22,0,1,11603.69
20,Belgium,2,2020-01-22,0,0,50412.71
21,US,3,2020-01-23,0,0,68308.97
22,Brazil,4,2020-01-23,0,0,7741.15
23,India,1,2020-01-23,0,0,2190.9
24,Mexico,3,2020-01-23,0,0,9246.01
25,Russia,2,2020-01-23,0,0,11654.37
26,Indonesia,1,2020-01-23,0,0,4256.34
27,United Kingdom,2,2020-01-23,0,0,46343.67
28,Italy,2,2020-01-23,0,0,34996.91
29,Colombia,4,2020-01-23,0,0,5892.14
30,France,2,2020-01-23,0,0,44995.24
31,Argentina,4,2020-01-23,0,0,9929.15
32,Germany,2,2020-01-23,0,0,51860.11
33,Spain,2,2020-01-23,0,0,30995.54
34,Poland,2,2020-01-23,0,0,16930.15
35,Romania,2,2020-01-23,0,0,14968.02
36,Philippines,1,2020-01-23,0,0,3646.08
37,Chile,4,2020-01-23,0,0,16799.37
38,Canada,3,2020-01-23,0,0,52791.23
39,Malaysia,1,2020-01-23,0,1,11603.69
40,Belgium,2,2020-01-23,0,0,50412.71
41,US,3,2020-01-24,0,0,68308.97
42,Brazil,4,2020-01-24,0,0,7741.15
43,India,1,2020-01-24,0,0,2190.9
44,Mexico,3,2020-01-24,0,0,9246.01
45,Russia,2,2020-01-24,0,0,11654.37
46,Indonesia,1,2020-01-24,0,0,4256.34
47,United Kingdom,2,2020-01-24,0,0,46343.67
48,Italy,2,2020-01-24,0,0,34996.91
49,Colombia,4,2020-01-24,0,2,5892.14
50,France,2,2020-01-24,0,0,44995.24
51,Argentina,4,2020-01-24,0,0,9929.15
52,Germany,2,2020-01-24,0,0,51860.11
53,Spain,2,2020-01-24,0,0,30995.54
54,Poland,2,2020-01-24,0,0,16930.15
55,Romania,2,2020-01-24,0,0,14968.02
56,Philippines,1,2020-01-24,0,0,3646.08
57,Chile,4,2020-01-24,0,0,16799.37
58,Canada,3,2020-01-24,0,0,52791.23
59,Malaysia,1,2020-01-24,0,2,11603.69
60,Belgium,2,2020-01-24,0,0,50412.71
61,US,3,2020-01-25,0,0,68308.97
62,Brazil,4,2020-01-25,0,0,7741.15
63,India,1,2020-01-25,0,0,2190.9
64,Mexico,3,2020-01-25,0,0,9246.01
65,Russia,2,2020-01-25,0,0,11654.37
66,Indonesia,1,2020-01-25,0,0,4256.34
67,United Kingdom,2,2020-01-25,0,0,46343.67
68,Italy,2,2020-01-25,0,0,34996.91
69,Colombia,4,2020-01-25,0,3,5892.14
70,France,2,2020-01-25,0,0,44995.24
71,Argentina,4,2020-01-25,0,0,9929.15
72,Germany,2,2020-01-25,0,0,51860.11
73,Spain,2,2020-01-25,0,0,30995.54
74,Poland,2,2020-01-25,0,4,16930.15
75,Romania,2,2020-01-25,0,0,14968.02
76,Philippines,1,2020-01-25,0,0,3646.08
77,Chile,4,2020-01-25,0,0,16799.37
78,Canada,3,2020-01-25,0,0,52791.23
79,Malaysia,1,2020-01-25,0,2,11603.69
80,Belgium,2,2020-01-25,0,0,50412.71
81,US,3,2020-01-26,0,0,68308.97
82,Brazil,4,2020-01-26,0,0,7741.15
83,India,1,2020-01-26,0,0,2190.9
84,Mexico,3,2020-01-26,0,0,9246.01
85,Russia,2,2020-01-26,0,1,11654.37
86,Indonesia,1,2020-01-26,0,0,4256.34
87,United Kingdom,2,2020-01-26,0,0,46343.67
88,Italy,2,2020-01-26,0,0,34996.91
89,Colombia,4,2020-01-26,0,3,5892.14
90,France,2,2020-01-26,0,0,44995.24
91,Argentina,4,2020-01-26,0,0,9929.15
92,Germany,2,2020-01-26,0,0,51860.11
93,Spain,2,2020-01-26,0,0,30995.54
94,Poland,2,2020-01-26,0,4,16930.15
95,Romania,2,2020-01-26,0,0,14968.02
96,Philippines,1,2020-01-26,0,0,3646.08
97,Chile,4,2020-01-26,0,0,16799.37
98,Canada,3,2020-01-26,0,0,52791.23
99,Malaysia,1,2020-01-26,0,5,11603.69
100,Belgium,2,2020-01-26,0,0,50412.71
101,US,3,2020-01-27,0,0,68308.97
102,Brazil,4,2020-01-27,0,0,7741.15
103,India,1,2020-01-27,0,0,2190.9
104,Mexico,3,2020-01-27,0,0,9246.01
105,Russia,2,2020-01-27,0,1,11654.37
106,Indonesia,1,2020-01-27,0,0,4256.34
107,United Kingdom,2,2020-01-27,0,0,46343.67
108,Italy,2,2020-01-27,0,0,34996.91
109,Colombia,4,2020-01-27,0,3,5892.14
110,France,2,2020-01-27,0,0,44995.24
111,Argentina,4,2020-01-27,0,0,9929.15
112,Germany,2,2020-01-27,0,0,51860.11
113,Spain,2,2020-01-27,0,0,30995.54
114,Poland,2,2020-01-27,0,4,16930.15
115,Romania,2,2020-01-27,0,0,14968.02
116,Philippines,1,2020-01-27,0,0,3646.08
117,Chile,4,2020-01-27,0,0,16799.37
118,Canada,3,2020-01-27,0,0,52791.23
119,Malaysia,1,2020-01-27,0,5,11603.69
120,Belgium,2,2020-01-27,0,0,50412.71
121,US,3,2020-01-28,0,0,68308.97
122,Brazil,4,2020-01-28,0,0,7741.15
123,India,1,2020-01-28,0,0,2190.9
124,Mexico,3,2020-01-28,0,0,9246.01
125,Russia,2,2020-01-28,0,2,11654.37
126,Indonesia,1,2020-01-28,0,0,4256.34
127,United Kingdom,2,2020-01-28,0,0,46343.67
128,Italy,2,2020-01-28,0,0,34996.91
129,Colombia,4,2020-01-28,0,4,5892.14
130,France,2,2020-01-28,0,0,44995.24
131,Argentina,4,2020-01-28,0,0,9929.15
132,Germany,2,2020-01-28,0,0,51860.11
133,Spain,2,2020-01-28,0,0,30995.54
134,Poland,2,2020-01-28,0,4,16930.15
135,Romania,2,2020-01-28,0,0,14968.02
136,Philippines,1,2020-01-28,0,0,3646.08
137,Chile,4,2020-01-28,0,0,16799.37
138,Canada,3,2020-01-28,0,0,52791.23
139,Malaysia,1,2020-01-28,0,5,11603.69
140,Belgium,2,2020-01-28,0,0,50412.71
141,US,3,2020-01-29,0,0,68308.97
142,Brazil,4,2020-01-29,0,0,7741.15
143,India,1,2020-01-29,0,0,2190.9
144,Mexico,3,2020-01-29,0,0,9246.01
145,Russia,2,2020-01-29,0,2,11654.37
146,Indonesia,1,2020-01-29,0,0,4256.34
147,United Kingdom,2,2020-01-29,0,0,46343.67
148,Italy,2,2020-01-29,0,0,34996.91
149,Colombia,4,2020-01-29,0,5,5892.14
150,France,2,2020-01-29,0,0,44995.24
151,Argentina,4,2020-01-29,0,0,9929.15
152,Germany,2,2020-01-29,0,0,51860.11
153,Spain,2,2020-01-29,0,0,30995.54
154,Poland,2,2020-01-29,0,7,16930.15
155,Romania,2,2020-01-29,0,0,14968.02
156,Philippines,1,2020-01-29,0,0,3646.08
157,Chile,4,2020-01-29,0,0,16799.37
158,Canada,3,2020-01-29,0,0,52791.23
159,Malaysia,1,2020-01-29,0,6,11603.69
160,Belgium,2,2020-01-29,0,0,50412.71
161,US,3,2020-01-30,0,0,68308.97
162,Brazil,4,2020-01-30,0,0,7741.15
163,India,1,2020-01-30,0,0,2190.9
164,Mexico,3,2020-01-30,0,0,9246.01
165,Russia,2,2020-01-30,0,2,11654.37
166,Indonesia,1,2020-01-30,0,0,4256.34
167,United Kingdom,2,2020-01-30,0,0,46343.67
168,Italy,2,2020-01-30,0,0,34996.91
169,Colombia,4,2020-01-30,0,5,5892.14
170,France,2,2020-01-30,0,0,44995.24
171,Argentina,4,2020-01-30,0,1,9929.15
172,Germany,2,2020-01-30,0,0,51860.11
173,Spain,2,2020-01-30,0,0,30995.54
174,Poland,2,2020-01-30,0,8,16930.15
175,Romania,2,2020-01-30,0,0,14968.02
