Date,Still Hospitalised,Phase,7 days Moving Average,Percentage Vaccinated,STI Price,Passengers
738004,572.0,Phase 2 (Heightened Alert),111.0,0.7585617305663032,3176.42,211
738005,562.0,Phase 2 (Heightened Alert),102.0,0.7599759057333803,3149.25,211
738006,525.0,Phase 2 (Heightened Alert),95.0,0.7615117833274709,3154.6,211
738007,547.0,Phase 2 (Heightened Alert),98.0,0.762820436158987,3186.65,211
738008,516.0,Phase 2 (Heightened Alert),97.0,0.7640138937741822,3175.0,211
738012,478.0,Preparatory Stage,82.14285714285714,0.7691786844882167,3187.53,211
738013,478.0,Preparatory Stage,77.57142857142857,0.7709516355962012,3204.76,211
738014,440.0,Preparatory Stage,72.0,0.7727238832219486,3190.23,211
738015,458.0,Preparatory Stage,65.14285714285714,0.7742891311994372,3167.03,211
738018,396.0,Preparatory Stage,55.57142857142857,0.7794725641927541,3139.23,211
738019,374.0,Preparatory Stage,55.857142857142854,0.7809124164614843,3138.58,211
738020,372.0,Preparatory Stage,54.42857142857143,0.7821403447062961,3117.28,211
738021,361.0,Preparatory Stage,50.57142857142857,0.7832532536053465,3110.38,211
738022,350.0,Preparatory Stage,49.285714285714285,0.7842419978895533,3106.84,211
738025,306.0,Preparatory Stage,50.142857142857146,0.7875422089342244,3087.56,211
738026,309.0,Preparatory Stage,58.714285714285715,0.788301442138586,3105.24,211
738027,320.0,Preparatory Stage,68.28571428571429,0.7890198733731973,3121.36,211
738028,313.0,Preparatory Stage,80.28571428571429,0.7897959901512487,3114.6,211
738029,339.0,Preparatory Stage,92.0,0.7904820612029546,3089.91,211
738032,411.0,Preparatory Stage,126.14285714285714,0.7927690819556806,3092.0,211
738033,433.0,Preparatory Stage,132.57142857142858,0.7934834681674288,3088.23,211
738034,469.0,Preparatory Stage,141.14285714285714,0.7941380583890256,3087.84,220
738035,498.0,Preparatory Stage,151.85714285714286,0.7947534294759058,3093.46,220
738036,550.0,Preparatory Stage,165.71428571428572,0.7953798804080197,3089.94,220
738039,607.0,Preparatory Stage,206.0,0.7973047836792121,3079.15,220
738040,613.0,Preparatory Stage,230.42857142857142,0.7979222652128034,3108.53,220
738041,634.0,Preparatory Stage,254.57142857142858,0.7985265564544495,3092.78,220
738042,634.0,Preparatory Stage,292.57142857142856,0.7991830812521984,3071.7,220
738043,659.0,Preparatory Stage,343.14285714285717,0.7998422441083363,3085.62,220
738046,744.0,Preparatory Stage,484.7142857142857,0.8013325712275765,3074.31,220
738047,779.0,Preparatory Stage,556.8571428571429,0.8017697854379177,3087.07,220
738048,792.0,Preparatory Stage,622.2857142857143,0.8022465705240943,3058.61,220
738049,807.0,Preparatory Stage,687.0,0.8027921209989448,3065.22,220
738050,783.0,Preparatory Stage,738.7142857142857,0.8033944776644389,3071.23,220
738053,1025.0,Preparatory Stage,918.1428571428571,0.8047583538515652,3041.73,220
738054,1079.0,Preparatory Stage,966.8571428571429,0.8052592332043615,3039.96,220
738055,1053.0,Preparatory Stage,1059.7142857142858,0.8058424199788955,3048.05,220
738056,1090.0,Preparatory Stage,1144.5714285714287,0.806296166021808,3076.44,220
738057,1062.0,Preparatory Stage,1246.7142857142858,0.8066987337319733,3089.32,220
738060,1258.0,Stabilisation Phase,1545.4285714285713,0.8077722476257474,3100.3,220
738061,1295.0,Stabilisation Phase,1696.5714285714287,0.8078506858951812,3085.44,220
738062,1305.0,Stabilisation Phase,1812.4285714285713,0.8078995779106578,3080.88,220
738063,1330.0,Stabilisation Phase,1951.5714285714287,0.8079143510376363,3090.32,220
738064,1326.0,Stabilisation Phase,2131.4285714285716,0.8080357017235315,3051.11,255
738067,1325.0,Stabilisation Phase,2397.0,0.8081122054168133,3079.99,255
738068,1482.0,Stabilisation Phase,2575.5714285714284,0.8081273302849104,3071.93,255
738069,1490.0,Stabilisation Phase,2762.5714285714284,0.8081596904678157,3082.58,255
738070,1504.0,Stabilisation Phase,2906.1428571428573,0.8081727048892016,3099.99,255
738071,1534.0,Stabilisation Phase,3003.4285714285716,0.80847836792121,3110.82,255
738074,1668.0,Stabilisation Phase,3273.0,0.8096873021456208,3118.57,255
738075,1589.0,Stabilisation Phase,3200.1428571428573,0.810230038691523,3102.29,255
738076,1477.0,Stabilisation Phase,3144.8571428571427,0.8106869504045023,3122.78,255
738077,1481.0,Stabilisation Phase,3066.1428571428573,0.8110738656348927,3148.34,255
738078,1563.0,Stabilisation Phase,3045.4285714285716,0.8114201547660922,3180.55,255
738081,1684.0,Stabilisation Phase,3071.714285714286,0.8125592683784735,3174.3,255
738082,1708.0,Stabilisation Phase,3217.1428571428573,0.8129497010200493,3195.45,255
738083,1688.0,Stabilisation Phase,3313.1428571428573,0.8132124516355962,3212.67,255
738084,1583.0,Stabilisation Phase,3385.5714285714284,0.813465881111502,3203.92,255
738085,1579.0,Stabilisation Phase,3413.0,0.813715617305663,3195.36,255
