Date,Still Hospitalised,7 days Moving Average,Percentage Vaccinated,Phase_Phase 2 (Heightened Alert),Phase_Preparatory Stage,Phase_Stabilisation Phase,STI Price
738004,572.0,111.0,0.7585617305663032,1,0,0,3176.42
738005,562.0,102.0,0.7599759057333803,1,0,0,3149.25
738006,525.0,95.0,0.7615117833274709,1,0,0,3154.6
738007,547.0,98.0,0.762820436158987,1,0,0,3186.65
738008,516.0,97.0,0.7640138937741822,1,0,0,3175.0
738012,478.0,82.14285714285714,0.7691786844882167,0,1,0,3187.53
738013,478.0,77.57142857142857,0.7709516355962012,0,1,0,3204.76
738014,440.0,72.0,0.7727238832219486,0,1,0,3190.23
738015,458.0,65.14285714285714,0.7742891311994372,0,1,0,3167.03
738018,396.0,55.57142857142857,0.7794725641927541,0,1,0,3139.23
738019,374.0,55.85714285714285,0.7809124164614843,0,1,0,3138.58
738020,372.0,54.42857142857143,0.7821403447062961,0,1,0,3117.28
738021,361.0,50.57142857142857,0.7832532536053465,0,1,0,3110.38
738022,350.0,49.285714285714285,0.7842419978895533,0,1,0,3106.84
738025,306.0,50.142857142857146,0.7875422089342244,0,1,0,3087.56
738026,309.0,58.71428571428572,0.788301442138586,0,1,0,3105.24
738027,320.0,68.28571428571429,0.7890198733731973,0,1,0,3121.36
738028,313.0,80.28571428571429,0.7897959901512487,0,1,0,3114.6
738029,339.0,92.0,0.7904820612029546,0,1,0,3089.91
738032,411.0,126.14285714285714,0.7927690819556806,0,1,0,3092.0
738033,433.0,132.57142857142858,0.7934834681674288,0,1,0,3088.23
738034,469.0,141.14285714285714,0.7941380583890256,0,1,0,3087.84
738035,498.0,151.85714285714286,0.7947534294759058,0,1,0,3093.46
738036,550.0,165.71428571428572,0.7953798804080197,0,1,0,3089.94
738039,607.0,206.0,0.7973047836792121,0,1,0,3079.15
738040,613.0,230.42857142857144,0.7979222652128034,0,1,0,3108.53
738041,634.0,254.57142857142856,0.7985265564544495,0,1,0,3092.78
738042,634.0,292.57142857142856,0.7991830812521984,0,1,0,3071.7
738043,659.0,343.1428571428572,0.7998422441083363,0,1,0,3085.62
738046,744.0,484.7142857142857,0.8013325712275765,0,1,0,3074.31
738047,779.0,556.8571428571429,0.8017697854379177,0,1,0,3087.07
738048,792.0,622.2857142857143,0.8022465705240943,0,1,0,3058.61
738049,807.0,687.0,0.8027921209989448,0,1,0,3065.22
738050,783.0,738.7142857142857,0.8033944776644389,0,1,0,3071.23
738053,1025.0,918.1428571428572,0.8047583538515652,0,1,0,3041.73
738054,1079.0,966.8571428571428,0.8052592332043615,0,1,0,3039.96
738055,1053.0,1059.7142857142858,0.8058424199788955,0,1,0,3048.05
738056,1090.0,1144.571428571429,0.806296166021808,0,1,0,3076.44
738057,1062.0,1246.7142857142858,0.8066987337319733,0,1,0,3089.32
738060,1258.0,1545.428571428571,0.8077722476257474,0,0,1,3100.3
738061,1295.0,1696.571428571429,0.8078506858951812,0,0,1,3085.44
738062,1305.0,1812.428571428572,0.8078995779106578,0,0,1,3080.88
738063,1330.0,1951.571428571429,0.8079143510376363,0,0,1,3090.32
738064,1326.0,2131.428571428572,0.8080357017235315,0,0,1,3051.11
738067,1325.0,2397.0,0.8081122054168133,0,0,1,3079.99
738068,1482.0,2575.5714285714284,0.8081273302849104,0,0,1,3071.93
738069,1490.0,2762.5714285714284,0.8081596904678157,0,0,1,3082.58
738070,1504.0,2906.1428571428573,0.8081727048892016,0,0,1,3099.99
738071,1534.0,3003.428571428572,0.80847836792121,0,0,1,3110.82
738074,1668.0,3273.0,0.8096873021456208,0,0,1,3118.57
738075,1589.0,3200.1428571428573,0.810230038691523,0,0,1,3102.29
738076,1477.0,3144.8571428571427,0.8106869504045023,0,0,1,3122.78
738077,1481.0,3066.1428571428573,0.8110738656348927,0,0,1,3148.34
738078,1563.0,3045.428571428572,0.8114201547660922,0,0,1,3180.55
738081,1684.0,3071.714285714286,0.8125592683784735,0,0,1,3174.3
738082,1708.0,3217.1428571428573,0.8129497010200493,0,0,1,3195.45
738083,1688.0,3313.1428571428573,0.8132124516355962,0,0,1,3212.67
738084,1583.0,3385.5714285714284,0.813465881111502,0,0,1,3203.92
738085,1579.0,3413.0,0.813715617305663,0,0,1,3195.36
